Category,Item,Order ID,Total Paid (USD),Notes
Wires and Cables,Electrical Wire 16 AWG Silicone (20 ft: 10ft red + 10ft black),113-4951806-5302623,8.65,
Wires and Cables,Electrical Wire 14 AWG Silicone (20 ft: 10ft red + 10ft black),113-4951806-5302623,9.62,
Wires and Cables,"12 AWG Silicone Wire (6 colors, 5 ft each)",113-4951806-5302623,19.37,
Wires and Cables,Twidec 110-pc Battery Cable Ends (copper ring terminals + heat shrink),111-7623499-062665,5.41,
Wires and Cables,10 AWG Silicone Wire 2-core (20 ft: 10ft red + 10ft black),111-7623499-062665,14.19,
Connectors,"Heat Shrink Bullet Wire Connectors Kit (54 pcs, 22-10 AWG)",113-4951806-5302623,5.4,
Connectors,"BOJOUL JST PH Connector Set (24 sets, assorted pins)",113-4951806-5302623,9.71,
Connectors,FLY RC 5-pairs XT90-S Anti-Spark Connectors,111-7623499-062665,11.99,
Connectors,"FLY RC 2-pack XT90 Charging Cables (XT90 to 4 mm banana, 30 cm)",111-2053761-321625,9.73,
Sensors and Monitors,HiLetgo INA3221 Triple-Channel Power/Voltage Monitor (2 pcs),113-4951806-5302623,8.65,
Sensors and Monitors,Teyleten Robot GY-BNO085 IMU (9DOF AHRS),111-9024809-2798611,20.4,
Power Management,Tenergy TB-6AB Multi-Chemistry Balance Charger,113-6724513-1779436,43.29,
Power Management,"RECOIL BPG4 Positive/Negative Bus Bar (150 A, 4x M8 + 4x #8)",111-0330120-6713042,21.64,
Power Management,"RECOIL DS21-516 Bus Bar (48 V, 150 A, 2x M8 + 1x #8)",111-0330120-6713042,21.64,
Power Management,"Nilight 90015A Heavy-Duty Battery Switch (12-48 V, waterproof)",13-5057961-2108248,15.24,
Power Management,"LS2015 Carbon Fiber Survey Pole (1.8 m, 4-section mast)",13-9418307-0300237,97.41,
Motors and Mechanical,Aluminum Motor Mount for 6.5 in Balancing Wheel Motor Set,25-13434-67421,12.34,shipped 2025-09-02
Motors and Mechanical,Aluminum Chassis Frame Kit,14-3928471-1029471,28.67,shipped 2025-09-02
Motors and Mechanical,"6.5 in Balancing Wheel Motor Set of 2 (Gyroor, 36 V hubs)",25-13434-67421,50.92,
Motors and Mechanical,Wheel Mounting Bracket Holders with Bolts,10-13480-93230,16.02,
Microcontrollers and Electronics,"PJRC Teensy 4.1 (ARM Cortex-M7, 600 MHz, iMXRT1062)",111-9274704-9389011,37.89,
Microcontrollers and Electronics,Luxonis OAK-D Pro (OAK-D-PRO-FF-C07),12-13450-05944,307.86,
Microcontrollers and Electronics,Flipsky Dual Mini FSESC6.7 Pro 50 A Controller,02-13465-92671,138.87,
Microcontrollers and Electronics,Treedix Breakout Board with Pin Board for Teensy,111-9024809-2798611,14.58,
Batteries,2x HRB 18.5 V 5000 mAh 5S 100C LiPo (XT90),05-13488-16976,93.52,
